Josh Allen,QB,357.2
Patrick Mahomes,QB,355
Kyler Murray,QB,336.3
Justin Herbert,QB,335.2
Jalen Hurts,QB,332.6
Lamar Jackson,QB,328.2
Tom Brady,QB,318.5
Matthew Stafford,QB,318.3
Trey Lance,QB,317.1
Dak Prescott,QB,311.6
Aaron Rodgers,QB,310.8
Joe Burrow,QB,309.2
Russell Wilson,QB,290.8
Matt Ryan,QB,289.3
Kirk Cousins,QB,286
Derek Carr,QB,286
Justin Fields,QB,284.1
Jameis Winston,QB,282.6
Ryan Tannehill,QB,273.3
Trevor Lawrence,QB,271.8
Carson Wentz,QB,267.8
Daniel Jones,QB,262.6
Tua Tagovailoa,QB,257.4
Zach Wilson,QB,253.6
Mac Jones,QB,248.7
Marcus Mariota,QB,241.6
Jared Goff,QB,237.8
Davis Mills,QB,230.5
Baker Mayfield,QB,205.7
Drew Lock,QB,173
Jacoby Brissett,QB,127.1
Kenny Pickett,QB,115.6
Mitchell Trubisky,QB,104.4
Desmond Ridder,QB,80
Deshaun Watson,QB,71.8
Sam Darnold,QB,69.7
Joshua Dobbs,QB,64.3
Geno Smith,QB,55.6
Mason Rudolph,QB,41.7
Blaine Gabbert,QB,35.9
Tyrod Taylor,QB,31.1
Andy Dalton,QB,30.6
Chad Henne,QB,26.9
Brandon Allen,QB,26.3
Cooper Rush,QB,26.2
Teddy Bridgewater,QB,25.2
Taylor Heinicke,QB,25.1
Case Keenum,QB,24.9
Nick Mullens,QB,24.8
John Wolford,QB,24.7
Josh Johnson,QB,24.4
Jordan Love,QB,24.3
Chase Daniel,QB,23.4
Nick Foles,QB,22.9
Kyle Allen,QB,22.6
Colt McCoy,QB,22.6
Gardner Minshew,QB,22.2
Tim Boyle,QB,22
Jarrett Stidham,QB,21.6
Brian Hoyer,QB,21.2
Joe Flacco,QB,21.1
Logan Woodside,QB,20.4
Tyler Huntley,QB,20.1
Nate Sudfeld,QB,19.5
C.J. Beathard,QB,19.1
Trevor Siemian,QB,18.9
Malik Willis,QB,4.3
Sam Howell,QB,3.8
Ian Book,QB,0.4
P.J. Walker,QB,0.3
Mike White,QB,0.3
Sean Mannion,QB,0.2
Josh Rosen,QB,0.2
Brett Rypien,QB,0.2
Sam Ehlinger,QB,0.2
Chase Garbers,QB,0.2
Easton Stick,QB,0.2
Brock Purdy,QB,0.2
Bryce Perkins,QB,0.2
Kyle Trask,QB,0.2
Will Grier,QB,0.2
Reid Sinnett,QB,0.2
Feleipe Franks,QB,0.2
Danny Etling,QB,0.2
Skylar Thompson,QB,0.2
Davis Webb,QB,0.2
Trace McSorley,QB,0.2
Matt Barkley,QB,0.2
Jake Browning,QB,0.2
John Lovett,QB,0.2
Shane Buechele,QB,0.2
Jacob Eason,QB,0.1
E.J. Perry,QB,0.1
David Blough,QB,0.1
Bailey Zappe,QB,0.1
Nathan Peterman,QB,0.1
Anthony Brown,QB,0.1
Jeff Driskel,QB,0.1
Jonathan Taylor,RB,308.9
Christian McCaffrey,RB,320.9
Dalvin Cook,RB,287.1
Joe Mixon,RB,273.5
Derrick Henry,RB,257.4
Najee Harris,RB,277.7
Austin Ekeler,RB,294.4
D'Andre Swift,RB,296.6
Leonard Fournette,RB,276.5
Saquon Barkley,RB,280
Nick Chubb,RB,242.9
Alvin Kamara,RB,275.4
Ezekiel Elliott,RB,235.2
Javonte Williams,RB,229.6
James Conner,RB,223.2
Aaron Jones,RB,240.7
David Montgomery,RB,223.8
A.J. Dillon,RB,213.3
Damien Harris,RB,195.6
Kareem Hunt,RB,227.8
Travis Etienne,RB,219.8
Miles Sanders,RB,187.6
Cam Akers,RB,200.3
Breece Hall,RB,192.2
Josh Jacobs,RB,183
J.K. Dobbins,RB,180.1
Rhamondre Stevenson,RB,178.8
Tony Pollard,RB,182.7
Chase Edmonds,RB,183.7
Elijah Mitchell,RB,156
Clyde Edwards-Helaire,RB,167.5
Rashaad Penny,RB,148
Darrell Henderson,RB,154.8
Antonio Gibson,RB,159.1
James Cook,RB,166.3
Cordarrelle Patterson,RB,167.8
Dameon Pierce,RB,161.2
Melvin Gordon III,RB,144.9
James Robinson,RB,144.1
Kenneth Walker III,RB,144.8
Devin Singletary,RB,146.5
Michael Carter,RB,149.9
Jamaal Williams,RB,122.5
D'Onta Foreman,RB,118.6
Zamir White,RB,118.8
Kenneth Gainwell,RB,128
Sony Michel,RB,101.6
Brian Robinson Jr.,RB,106
J.D. McKissic,RB,120.2
Rex Burkhead,RB,100.3
Isaiah Spiller,RB,107.5
Tyler Allgeier,RB,109.6
Gus Edwards,RB,96.3
Boston Scott,RB,81.5
Matt Breida,RB,95.7
Khalil Herbert,RB,86.6
Raheem Mostert,RB,79.5
Marlon Mack,RB,90.1
Nyheim Hines,RB,109.5
Isiah Pacheco,RB,86.7
Alexander Mattison,RB,85.1
